algoritmo,archivo,tamano,tiempo_ms
naive,1024_densa_D0_a,1024,815.979
strassen,1024_densa_D0_a,1024,50965.7
naive,1024_densa_D0_b,1024,775.785
strassen,1024_densa_D0_b,1024,50853.1
naive,1024_densa_D0_c,1024,780.469
strassen,1024_densa_D0_c,1024,50784.4
naive,1024_densa_D10_a,1024,792.631
strassen,1024_densa_D10_a,1024,50929.6
naive,1024_densa_D10_b,1024,793.154
strassen,1024_densa_D10_b,1024,50912.6
naive,1024_densa_D10_c,1024,765.005
strassen,1024_densa_D10_c,1024,51151
naive,1024_diagonal_D0_a,1024,795.413
strassen,1024_diagonal_D0_a,1024,52382.9
naive,1024_diagonal_D0_b,1024,813.41
strassen,1024_diagonal_D0_b,1024,52052.3
naive,1024_diagonal_D0_c,1024,837.7
strassen,1024_diagonal_D0_c,1024,51008.9
naive,1024_diagonal_D10_a,1024,783.34
strassen,1024_diagonal_D10_a,1024,50934.6
naive,1024_diagonal_D10_b,1024,795.167
strassen,1024_diagonal_D10_b,1024,50360.2
naive,1024_diagonal_D10_c,1024,823.984
strassen,1024_diagonal_D10_c,1024,50701.7
naive,1024_dispersa_D0_a,1024,769.687
strassen,1024_dispersa_D0_a,1024,51038.6
naive,1024_dispersa_D0_b,1024,778.054
strassen,1024_dispersa_D0_b,1024,50517.9
naive,1024_dispersa_D0_c,1024,778.481
strassen,1024_dispersa_D0_c,1024,50962.2
naive,1024_dispersa_D10_a,1024,830.347
strassen,1024_dispersa_D10_a,1024,50651.3
naive,1024_dispersa_D10_b,1024,775.854
strassen,1024_dispersa_D10_b,1024,50680.4
naive,1024_dispersa_D10_c,1024,789.024
strassen,1024_dispersa_D10_c,1024,50786.5
naive,16_densa_D0_a,16,0.002465
strassen,16_densa_D0_a,16,0.548279
naive,16_densa_D0_b,16,0.002194
strassen,16_densa_D0_b,16,0.516889
naive,16_densa_D0_c,16,0.002124
strassen,16_densa_D0_c,16,0.479228
naive,16_densa_D10_a,16,0.002084
strassen,16_densa_D10_a,16,0.520846
naive,16_densa_D10_b,16,0.002014
strassen,16_densa_D10_b,16,0.477574
naive,16_densa_D10_c,16,0.002084
strassen,16_densa_D10_c,16,0.482244
naive,16_diagonal_D0_a,16,0.002054
strassen,16_diagonal_D0_a,16,0.482354
naive,16_diagonal_D0_b,16,0.002084
strassen,16_diagonal_D0_b,16,0.478537
naive,16_diagonal_D0_c,16,0.002034
strassen,16_diagonal_D0_c,16,0.47506
naive,16_diagonal_D10_a,16,0.002745
strassen,16_diagonal_D10_a,16,0.486301
naive,16_diagonal_D10_b,16,0.003156
strassen,16_diagonal_D10_b,16,0.612
naive,16_diagonal_D10_c,16,0.002695
strassen,16_diagonal_D10_c,16,0.538871
naive,16_dispersa_D0_a,16,0.002074
strassen,16_dispersa_D0_a,16,0.487433
naive,16_dispersa_D0_b,16,0.002044
strassen,16_dispersa_D0_b,16,0.473658
naive,16_dispersa_D0_c,16,0.001984
strassen,16_dispersa_D0_c,16,0.469791
naive,16_dispersa_D10_a,16,0.002515
strassen,16_dispersa_D10_a,16,0.514986
naive,16_dispersa_D10_b,16,0.002024
strassen,16_dispersa_D10_b,16,0.47014
naive,16_dispersa_D10_c,16,0.002104
strassen,16_dispersa_D10_c,16,0.465321
naive,256_densa_D0_a,256,6.67756
strassen,256_densa_D0_a,256,1043.52
naive,256_densa_D0_b,256,6.69137
strassen,256_densa_D0_b,256,1038.93
naive,256_densa_D0_c,256,7.12385
strassen,256_densa_D0_c,256,1027.7
naive,256_densa_D10_a,256,8.0531
strassen,256_densa_D10_a,256,1024.61
naive,256_densa_D10_b,256,7.70273
strassen,256_densa_D10_b,256,1024.84
naive,256_densa_D10_c,256,6.92501
strassen,256_densa_D10_c,256,1015.6
naive,256_diagonal_D0_a,256,7.19269
strassen,256_diagonal_D0_a,256,1022.57
naive,256_diagonal_D0_b,256,6.87141
strassen,256_diagonal_D0_b,256,1007.1
naive,256_diagonal_D0_c,256,7.77083
strassen,256_diagonal_D0_c,256,1068.63
naive,256_diagonal_D10_a,256,6.98686
strassen,256_diagonal_D10_a,256,1079.17
naive,256_diagonal_D10_b,256,8.24167
strassen,256_diagonal_D10_b,256,1038.38
naive,256_diagonal_D10_c,256,7.47973
strassen,256_diagonal_D10_c,256,1048.05
naive,256_dispersa_D0_a,256,6.8962
strassen,256_dispersa_D0_a,256,1025.63
naive,256_dispersa_D0_b,256,6.78124
strassen,256_dispersa_D0_b,256,1058.24
naive,256_dispersa_D0_c,256,7.45567
strassen,256_dispersa_D0_c,256,1040.82
naive,256_dispersa_D10_a,256,7.79972
strassen,256_dispersa_D10_a,256,1031.81
naive,256_dispersa_D10_b,256,7.49458
strassen,256_dispersa_D10_b,256,1027.41
naive,256_dispersa_D10_c,256,6.74494
strassen,256_dispersa_D10_c,256,1030.48
naive,64_densa_D0_a,64,0.101122
strassen,64_densa_D0_a,64,21.811
naive,64_densa_D0_b,64,0.10066
strassen,64_densa_D0_b,64,21.2267
naive,64_densa_D0_c,64,0.100961
strassen,64_densa_D0_c,64,25.184
naive,64_densa_D10_a,64,0.109838
strassen,64_densa_D10_a,64,23.6819
naive,64_densa_D10_b,64,0.100991
strassen,64_densa_D10_b,64,23.3028
naive,64_densa_D10_c,64,0.100861
strassen,64_densa_D10_c,64,22.9331
naive,64_diagonal_D0_a,64,0.101202
strassen,64_diagonal_D0_a,64,21.1696
naive,64_diagonal_D0_b,64,0.100861
strassen,64_diagonal_D0_b,64,21.0949
naive,64_diagonal_D0_c,64,0.101643
strassen,64_diagonal_D0_c,64,21.0793
naive,64_diagonal_D10_a,64,0.100912
strassen,64_diagonal_D10_a,64,21.3306
naive,64_diagonal_D10_b,64,0.101091
strassen,64_diagonal_D10_b,64,21.4607
naive,64_diagonal_D10_c,64,0.100861
strassen,64_diagonal_D10_c,64,21.304
naive,64_dispersa_D0_a,64,0.101362
strassen,64_dispersa_D0_a,64,21.4089
naive,64_dispersa_D0_b,64,0.100781
strassen,64_dispersa_D0_b,64,21.5401
naive,64_dispersa_D0_c,64,0.100751
strassen,64_dispersa_D0_c,64,21.1167
naive,64_dispersa_D10_a,64,0.101231
strassen,64_dispersa_D10_a,64,21.0834
naive,64_dispersa_D10_b,64,0.100761
strassen,64_dispersa_D10_b,64,21.0652
naive,64_dispersa_D10_c,64,0.10056
strassen,64_dispersa_D10_c,64,21.321
