algoritmo,archivo,tamano,tiempo_ms,memoria_kb,ordenado
mergesort,10000000_aleatorio_D1_a,10000000,329.696,81992,si
mergesort,10000000_aleatorio_D1_b,10000000,344.756,82000,si
mergesort,10000000_aleatorio_D1_c,10000000,323.233,82000,si
mergesort,10000000_aleatorio_D7_a,10000000,692.638,81984,si
mergesort,10000000_aleatorio_D7_b,10000000,736.671,82052,si
mergesort,10000000_aleatorio_D7_c,10000000,693.45,81896,si
mergesort,10000000_ascendente_D1_a,10000000,183.703,81892,si
mergesort,10000000_ascendente_D1_b,10000000,189.677,81980,si
mergesort,10000000_ascendente_D1_c,10000000,170.728,81996,si
mergesort,10000000_ascendente_D7_a,10000000,181.517,82000,si
mergesort,10000000_ascendente_D7_b,10000000,174.393,81996,si
mergesort,10000000_ascendente_D7_c,10000000,175.452,81940,si
mergesort,10000000_descendente_D1_a,10000000,190.812,81904,si
mergesort,10000000_descendente_D1_b,10000000,174.217,81940,si
mergesort,10000000_descendente_D1_c,10000000,179.924,82060,si
mergesort,10000000_descendente_D7_a,10000000,196.129,82068,si
mergesort,10000000_descendente_D7_b,10000000,199.983,82000,si
mergesort,10000000_descendente_D7_c,10000000,191.974,81868,si
mergesort,100000_aleatorio_D1_a,100000,2.72218,12476,si
mergesort,100000_aleatorio_D1_b,100000,2.97134,12476,si
mergesort,100000_aleatorio_D1_c,100000,3.70158,12476,si
mergesort,100000_aleatorio_D7_a,100000,5.17366,12476,si
mergesort,100000_aleatorio_D7_b,100000,5.23067,12476,si
mergesort,100000_aleatorio_D7_c,100000,5.22291,12476,si
mergesort,100000_ascendente_D1_a,100000,1.42371,12476,si
mergesort,100000_ascendente_D1_b,100000,1.82203,12476,si
mergesort,100000_ascendente_D1_c,100000,1.58369,12476,si
mergesort,100000_ascendente_D7_a,100000,1.65969,12476,si
mergesort,100000_ascendente_D7_b,100000,1.40271,12476,si
mergesort,100000_ascendente_D7_c,100000,1.46686,12476,si
mergesort,100000_descendente_D1_a,100000,1.7216,12476,si
mergesort,100000_descendente_D1_b,100000,1.39355,12476,si
mergesort,100000_descendente_D1_c,100000,1.48582,12476,si
mergesort,100000_descendente_D7_a,100000,1.3833,12476,si
mergesort,100000_descendente_D7_b,100000,1.43506,12476,si
mergesort,100000_descendente_D7_c,100000,1.45578,12476,si
mergesort,1000_aleatorio_D1_a,1000,0.034876,12476,si
mergesort,1000_aleatorio_D1_b,1000,0.029656,12476,si
mergesort,1000_aleatorio_D1_c,1000,0.036609,12476,si
mergesort,1000_aleatorio_D7_a,1000,0.033493,12476,si
mergesort,1000_aleatorio_D7_b,1000,0.034215,12476,si
mergesort,1000_aleatorio_D7_c,1000,0.053902,12476,si
mergesort,1000_ascendente_D1_a,1000,0.013987,12476,si
mergesort,1000_ascendente_D1_b,1000,0.01582,12476,si
mergesort,1000_ascendente_D1_c,1000,0.019146,12476,si
mergesort,1000_ascendente_D7_a,1000,0.013706,12476,si
mergesort,1000_ascendente_D7_b,1000,0.023033,12476,si
mergesort,1000_ascendente_D7_c,1000,0.014918,12476,si
mergesort,1000_descendente_D1_a,1000,0.017293,12476,si
mergesort,1000_descendente_D1_b,1000,0.018706,12476,si
mergesort,1000_descendente_D1_c,1000,0.019487,12476,si
mergesort,1000_descendente_D7_a,1000,0.011482,12476,si
mergesort,1000_descendente_D7_b,1000,0.018635,12476,si
mergesort,1000_descendente_D7_c,1000,0.011712,12476,si
mergesort,10_aleatorio_D1_a,10,0.004659,12476,si
mergesort,10_aleatorio_D1_b,10,0.00487,12476,si
mergesort,10_aleatorio_D1_c,10,0.004859,12476,si
mergesort,10_aleatorio_D7_a,10,0.004869,12476,si
mergesort,10_aleatorio_D7_b,10,0.003848,12476,si
mergesort,10_aleatorio_D7_c,10,0.003958,12476,si
mergesort,10_ascendente_D1_a,10,0.004178,12476,si
mergesort,10_ascendente_D1_b,10,0.00495,12476,si
mergesort,10_ascendente_D1_c,10,0.003917,12476,si
mergesort,10_ascendente_D7_a,10,0.004488,12476,si
mergesort,10_ascendente_D7_b,10,0.007655,12476,si
mergesort,10_ascendente_D7_c,10,0.004108,12476,si
mergesort,10_descendente_D1_a,10,0.003777,12476,si
mergesort,10_descendente_D1_b,10,0.003828,12476,si
mergesort,10_descendente_D1_c,10,0.00488,12476,si
mergesort,10_descendente_D7_a,10,0.005861,12476,si
mergesort,10_descendente_D7_b,10,0.003897,12476,si
mergesort,10_descendente_D7_c,10,0.004639,12476,si
quicksort,10000000_aleatorio_D1_a,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_aleatorio_D1_b,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_aleatorio_D1_c,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_aleatorio_D7_a,10000000,514.743,81888,si
quicksort,10000000_aleatorio_D7_b,10000000,529.154,81876,si
quicksort,10000000_aleatorio_D7_c,10000000,521.429,81980,si
quicksort,10000000_ascendente_D1_a,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_ascendente_D1_b,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_ascendente_D1_c,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_ascendente_D7_a,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_ascendente_D7_b,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_ascendente_D7_c,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_descendente_D1_a,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_descendente_D1_b,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_descendente_D1_c,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_descendente_D7_a,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_descendente_D7_b,10000000,TIMEOUT,TIMEOUT,no
quicksort,10000000_descendente_D7_c,10000000,TIMEOUT,TIMEOUT,no
quicksort,100000_aleatorio_D1_a,100000,163.693,12476,si
quicksort,100000_aleatorio_D1_b,100000,163.917,12476,si
quicksort,100000_aleatorio_D1_c,100000,163.816,12476,si
quicksort,100000_aleatorio_D7_a,100000,3.77192,12476,si
quicksort,100000_aleatorio_D7_b,100000,4.18261,12476,si
quicksort,100000_aleatorio_D7_c,100000,3.97656,12476,si
quicksort,100000_ascendente_D1_a,100000,1642.66,12476,si
quicksort,100000_ascendente_D1_b,100000,1681.92,12476,si
quicksort,100000_ascendente_D1_c,100000,1678.17,12476,si
quicksort,100000_ascendente_D7_a,100000,1662.88,12476,si
quicksort,100000_ascendente_D7_b,100000,1674.88,12476,si
quicksort,100000_ascendente_D7_c,100000,1651.66,12476,si
quicksort,100000_descendente_D1_a,100000,354.701,12476,si
quicksort,100000_descendente_D1_b,100000,306.652,12476,si
quicksort,100000_descendente_D1_c,100000,821.997,12476,si
quicksort,100000_descendente_D7_a,100000,1789.31,12476,si
quicksort,100000_descendente_D7_b,100000,1766.54,12476,si
quicksort,100000_descendente_D7_c,100000,1759.55,12476,si
quicksort,1000_aleatorio_D1_a,1000,0.043382,12476,si
quicksort,1000_aleatorio_D1_b,1000,0.045777,12476,si
quicksort,1000_aleatorio_D1_c,1000,0.036669,12476,si
quicksort,1000_aleatorio_D7_a,1000,0.034385,12476,si
quicksort,1000_aleatorio_D7_b,1000,0.028504,12476,si
quicksort,1000_aleatorio_D7_c,1000,0.029325,12604,si
quicksort,1000_ascendente_D1_a,1000,0.173458,12604,si
quicksort,1000_ascendente_D1_b,1000,0.175051,12604,si
quicksort,1000_ascendente_D1_c,1000,0.17421,12604,si
quicksort,1000_ascendente_D7_a,1000,0.217883,12604,si
quicksort,1000_ascendente_D7_b,1000,0.256896,12604,si
quicksort,1000_ascendente_D7_c,1000,0.191653,12604,si
quicksort,1000_descendente_D1_a,1000,0.103386,12604,si
quicksort,1000_descendente_D1_b,1000,0.109938,12604,si
quicksort,1000_descendente_D1_c,1000,0.109868,12604,si
quicksort,1000_descendente_D7_a,1000,0.228943,12604,si
quicksort,1000_descendente_D7_b,1000,0.222872,12604,si
quicksort,1000_descendente_D7_c,1000,0.201872,12604,si
quicksort,10_aleatorio_D1_a,10,0.004739,12604,si
quicksort,10_aleatorio_D1_b,10,0.004318,12604,si
quicksort,10_aleatorio_D1_c,10,0.005831,12604,si
quicksort,10_aleatorio_D7_a,10,0.004338,12604,si
quicksort,10_aleatorio_D7_b,10,0.005641,12604,si
quicksort,10_aleatorio_D7_c,10,0.003977,12604,si
quicksort,10_ascendente_D1_a,10,0.004598,12604,si
quicksort,10_ascendente_D1_b,10,0.006192,12604,si
quicksort,10_ascendente_D1_c,10,0.005581,12604,si
quicksort,10_ascendente_D7_a,10,0.003777,12604,si
quicksort,10_ascendente_D7_b,10,0.003827,12604,si
quicksort,10_ascendente_D7_c,10,0.004729,12604,si
quicksort,10_descendente_D1_a,10,0.004809,12604,si
quicksort,10_descendente_D1_b,10,0.004579,12604,si
quicksort,10_descendente_D1_c,10,0.004709,12604,si
quicksort,10_descendente_D7_a,10,0.004529,12604,si
quicksort,10_descendente_D7_b,10,0.00509,12604,si
quicksort,10_descendente_D7_c,10,0.004208,12604,si
sort,10000000_aleatorio_D1_a,10000000,130.603,81996,si
sort,10000000_aleatorio_D1_b,10000000,127.54,81988,si
sort,10000000_aleatorio_D1_c,10000000,138.345,81988,si
sort,10000000_aleatorio_D7_a,10000000,474.322,81992,si
sort,10000000_aleatorio_D7_b,10000000,485.183,81992,si
sort,10000000_aleatorio_D7_c,10000000,484.185,81924,si
sort,10000000_ascendente_D1_a,10000000,96.7217,81920,si
sort,10000000_ascendente_D1_b,10000000,63.769,81988,si
sort,10000000_ascendente_D1_c,10000000,68.6994,81992,si
sort,10000000_ascendente_D7_a,10000000,91.5929,81996,si
sort,10000000_ascendente_D7_b,10000000,90.6639,81988,si
sort,10000000_ascendente_D7_c,10000000,96.9756,81996,si
sort,10000000_descendente_D1_a,10000000,60.74,81972,si
sort,10000000_descendente_D1_b,10000000,63.1868,81876,si
sort,10000000_descendente_D1_c,10000000,63.2061,81900,si
sort,10000000_descendente_D7_a,10000000,82.9786,82068,si
sort,10000000_descendente_D7_b,10000000,77.8822,81896,si
sort,10000000_descendente_D7_c,10000000,81.4162,81992,si
sort,100000_aleatorio_D1_a,100000,1.73932,12604,si
sort,100000_aleatorio_D1_b,100000,1.24632,12604,si
sort,100000_aleatorio_D1_c,100000,1.23362,12604,si
sort,100000_aleatorio_D7_a,100000,3.62193,12604,si
sort,100000_aleatorio_D7_b,100000,3.54162,12604,si
sort,100000_aleatorio_D7_c,100000,3.39655,12604,si
sort,100000_ascendente_D1_a,100000,0.463528,12604,si
sort,100000_ascendente_D1_b,100000,0.466293,12604,si
sort,100000_ascendente_D1_c,100000,0.483456,12604,si
sort,100000_ascendente_D7_a,100000,0.648378,12604,si
sort,100000_ascendente_D7_b,100000,0.611108,12604,si
sort,100000_ascendente_D7_c,100000,0.606459,12604,si
sort,100000_descendente_D1_a,100000,0.482394,12604,si
sort,100000_descendente_D1_b,100000,0.596199,12604,si
sort,100000_descendente_D1_c,100000,0.494016,12604,si
sort,100000_descendente_D7_a,100000,0.517851,12604,si
sort,100000_descendente_D7_b,100000,0.542238,12604,si
sort,100000_descendente_D7_c,100000,0.494748,12604,si
sort,1000_aleatorio_D1_a,1000,0.0158,12604,si
sort,1000_aleatorio_D1_b,1000,0.022302,12604,si
sort,1000_aleatorio_D1_c,1000,0.019236,12604,si
sort,1000_aleatorio_D7_a,1000,0.030127,12604,si
sort,1000_aleatorio_D7_b,1000,0.030057,12604,si
sort,1000_aleatorio_D7_c,1000,0.027973,12604,si
sort,1000_ascendente_D1_a,1000,0.01065,12604,si
sort,1000_ascendente_D1_b,1000,0.008045,12604,si
sort,1000_ascendente_D1_c,1000,0.012944,12604,si
sort,1000_ascendente_D7_a,1000,0.007084,12604,si
sort,1000_ascendente_D7_b,1000,0.007174,12604,si
sort,1000_ascendente_D7_c,1000,0.007184,12604,si
sort,1000_descendente_D1_a,1000,0.008757,12604,si
sort,1000_descendente_D1_b,1000,0.011732,12604,si
sort,1000_descendente_D1_c,1000,0.008135,12604,si
sort,1000_descendente_D7_a,1000,0.007414,12604,si
sort,1000_descendente_D7_b,1000,0.006061,12604,si
sort,1000_descendente_D7_c,1000,0.007394,12604,si
sort,10_aleatorio_D1_a,10,0.003938,12604,si
sort,10_aleatorio_D1_b,10,0.004288,12604,si
sort,10_aleatorio_D1_c,10,0.004598,12604,si
sort,10_aleatorio_D7_a,10,0.003797,12604,si
sort,10_aleatorio_D7_b,10,0.004639,12604,si
sort,10_aleatorio_D7_c,10,0.003556,12604,si
sort,10_ascendente_D1_a,10,0.003737,12604,si
sort,10_ascendente_D1_b,10,0.003497,12604,si
sort,10_ascendente_D1_c,10,0.004288,12604,si
sort,10_ascendente_D7_a,10,0.004158,12604,si
sort,10_ascendente_D7_b,10,0.004459,12604,si
sort,10_ascendente_D7_c,10,0.004478,12604,si
sort,10_descendente_D1_a,10,0.004629,12604,si
sort,10_descendente_D1_b,10,0.004228,12604,si
sort,10_descendente_D1_c,10,0.004749,12604,si
sort,10_descendente_D7_a,10,0.003487,12604,si
sort,10_descendente_D7_b,10,0.004318,12604,si
sort,10_descendente_D7_c,10,0.004058,12604,si
patiencesort,10000000_aleatorio_D1_a,10000000,186.282,128972,si
patiencesort,10000000_aleatorio_D1_b,10000000,186.813,126412,si
patiencesort,10000000_aleatorio_D1_c,10000000,189.753,132684,si
patiencesort,10000000_aleatorio_D7_a,10000000,826.229,140076,si
patiencesort,10000000_aleatorio_D7_b,10000000,815.463,140692,si
patiencesort,10000000_aleatorio_D7_c,10000000,808.472,140236,si
patiencesort,10000000_ascendente_D1_a,10000000,96.3067,127180,si
patiencesort,10000000_ascendente_D1_b,10000000,90.3119,127176,si
patiencesort,10000000_ascendente_D1_c,10000000,95.4704,127152,si
patiencesort,10000000_ascendente_D7_a,10000000,1227.25,534916,si
patiencesort,10000000_ascendente_D7_b,10000000,1196.04,534904,si
patiencesort,10000000_ascendente_D7_c,10000000,1191.14,535076,si
